No._Incidente,Fecha,Hora,Localidad,Latitud,Longitud,Tipo_Incidente,Diferencia_Tiempo,Risk_Category,Model_Confidence,Confidence_Band,Risk_Score_Raw,ML_Prob_High,Rule_Label,weapons_score,physical_violence_score,severe_violence_score,threats_score,injuries_score,vulnerable_victims_score,urgency_score,location_risk_score,substance_abuse_score,N_s,neg_direct,neg_absence,neg_contextual,neg_uncertainty,negation_present,vaw_indicator,n_categories_active,text_length,Comentarios
SUR-02661297-21,2021-12-16,11:38:48,SAN CRISTOBAL,4.56848783,-74.08127343,934,00:00:12,High Risk,0.9824,high,9.192,0.9824,High Risk,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,2,182,ESPOSO ESTÁ AGRESIVO ESTÁ EN LA CA DE SU FAMILIAR ESTÁ GOLPEANDO LA PUERTA ESTÁ POR FUERA NO ARMAS NO HERIDOS LLAMANTE NO ESTÁ EN EL SITIO LE ESCRIBE POR WHATSAPP SOLICITA POLICIA
SUR-00197378-23,2023-02-05,07:41:33,KENNEDY,4.62127686,-74.14538574,934,00:00:22,High Risk,0.8205,high,8.688,0.8205,High Risk,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.6,0.9,0.0,0.7,0.0,1.0,1,2,89,SJTO ESTA AGREDIENDO A UNA MUJER EN APTO // NO HERIDO // NO ARMAS // YA HABIA LLAMADO //
SUR-01212239-23,2023-07-09,23:25:10,USAQUEN,4.7692443,-74.02719217,934,00:00:15,High Risk,1.0,high,14.46,1.0,High Risk,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,3,267,SEÑORA MANIFIESTA Q UN INQUILINO LLEGO 926 Y ESTA SUPER AGRESIVO CON LA MUJER ESTA SE SUBIO AL APTO DELA DUEÑA PARA QNO LA GOLPEARA Y ESTE SJ ESTA ROMPIENDO VIDRIOS Y DAÑANDO TODO // TIENE ARMA BLANCA Y AMENAZA A TODOS //NO HERIDOS
SUR-00765723-23,2023-05-03,22:01:31,BOSA,4.61266493,-74.19972346,934,00:00:11,Low Risk,1.0,high,0.0,0.0,Low Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,86,LAURELES // MANIFIESTA VIOLENCIA INTRAFAMILIAR HACIA LA HIJA /// SINMAS INFORMACION
SUR-02565069-21,2021-12-04,17:32:54,USAQUEN,4.73137214,-74.01502476,934,00:00:07,Moderate Risk,0.8997,high,4.2,0.0,Moderate Risk,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,57,"REPORTA RIÑA INTRAFAMILIAR , EL ESPOSO LA ESTA AGREDIENDO"
SUR-00838585-23,2023-05-14,03:25:20,RAFAEL URIBE,4.57144333,-74.11863727,934,00:00:13,High Risk,0.9824,high,9.192,0.9824,High Risk,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,2,82,SAN JORGE/HAY UNA RIÑA UN HOMBRE AGREDIENDO A UNA MUJER/ NO HAY ARMAS / NI HERIDOS
SUR-02394886-22,2022-12-24,07:47:12,SUBA,4.72565851,-74.05493822,934,00:00:06,High Risk,0.7353,high,14.232,0.7353,High Risk,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,3,90,LA EX PAREJA LA ESTA GOLPEANDO// NO HERIDOS// ESTA ENCERRADA EN EL BAÑO// NO TIENE ARMAS//
SUR-00053322-22,2022-01-09,22:54:58,USME,4.4967723,-74.1088316,934,00:00:11,Moderate Risk,0.8255,high,7.752,0.1745,Moderate Risk,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,2,166,HIJO ADULTO - LLEGO AGREDIR A LA MAMÁ - NO ARMAS NO HERIDOS // ESTA ROMPIENDO BOTELLAS - LA SEÑORA ESTA ESCONDIDA EN EL BAÑO // SUJ EN ESTADO DE EMBRIAGUEZ
SUR-00717328-22,2022-04-23,01:59:27,BARRIOS UNIDOS,4.66635706,-74.07929057,934,00:00:16,Moderate Risk,1.0,high,3.46,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,0,1,79,RIÑA ENTRE FAMILIA// ESTABAN CONSUMIENDO LICOR// NO USAN ARMAS NI HAY HERIDOS//
SUR-02143540-23,2023-11-28,19:42:59,BOSA,4.6079205,-74.20286589,934,00:01:31,High Risk,0.7489,high,16.318,0.7489,High Risk,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,0,3,261,SUJETO AGREDE LA PROGENITORA EN PRESENCIA DEL MENOR QUE ES EL NIETO /// NO INF ARMAS NI HERIDOS SE CORTA COMUNICACION // SE CORRIGE DIRECCION CON LA HERRAMIENTA CARBYNE // PORQUE SE REALIZA LLAMDA PARA TOMAR DIRECCIÓN CORRECTA Y LA CIUDADANA NO CONTESTA ///
SUR-01462878-23,2023-08-18,19:53:10,USME,4.52076017,-74.11794563,934,00:00:38,High Risk,1.0,high,8.0,1.0,High Risk,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,115,EL SEÑOR SE SALIO DE LA CASA LA MUJER TRATO DE AGREDIRLO CON ARMA BLANCA LO AMENAZO QUE LE VA ROMPER LAS COSAS ///
SUR-01381125-23,2023-08-05,22:48:24,KENNEDY,4.64706035,-74.17107622,934,00:00:31,High Risk,0.8956,high,26.19,0.8956,High Risk,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,4,218,"MASCULINO LLEGA AGRESIVO A LA VIVIENDA AMENAZANDO A LA MUJER QUE LA VA A MATAR, ELLA ESTÁ AFUERA DE LA VIVIENDA, HAY UN MENOR DE 13 AÑOS QUE ESTÁ SIENDO AMENAZADO TAMBIÉN POR EL MASCULINO AGRESIVO, NO ARMAS, NO HERIDOS"
SUR-01335557-22,2022-07-21,17:54:01,PUENTE ARANDA,4.62077611,-74.08866093,934,00:00:09,High Risk,0.8972,high,9.958,0.8972,High Risk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,2,329,"LLAMANTE REPORTA QUE LA HIJA DE 14 AÑOS ESTA INSOPORTABLE, NO QUIERE IR AL COLEGIO , ESTA AGREDIENDO A LA MAMA LA NIÑA ESTUVO CON INTEGRACION SOCIAL LA INSCRIBIO EN BIENESTAR PARA ADOLESCENTES Y ESTUVO EN ACTIVIDADES PERO LE INDICAN QUE NECESITA PSICOLOGO ELLA QUIERE ENTREGARLA Y SOLICITA PRESENCIA DE INFANCIA Y ADOLESCENCIA"
SUR-00438341-23,2023-03-15,11:44:44,TEUSAQUILLO,4.63655759,-74.06755982,934,00:00:17,Moderate Risk,0.9879,high,3.46,0.0121,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,1,129,FEMENINA ESTA SIENDO GOLEPEADA POR EL ESPOSO // NO INF HERIDOS O USO DE ARMAS FRENTE A UN D1 POR LA ESTACIOND E GASOLINA PRIMAX
SUR-01955645-23,2023-10-31,13:21:12,BOSA,4.63369809,-74.18772702,934,00:00:32,High Risk,1.0,high,8.0,1.0,High Risk,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,103,SRA DE 43 AÑOS // AGRESIVA // CON ARMA BLANCA // ATACANDO AL ESPOSO // [NUMERO_SENSIBLE] NUMERO DE CONTACTO //
SUR-01146574-22,2022-06-22,11:52:30,FONTIBON,4.68588344,-74.14819818,934,00:00:11,High Risk,1.0,high,11.0,1.0,High Risk,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,216,DENTRO DEL PREDIO//HIJO AGRESIVO//HACE QUE LA DESALOJEN DE LOS LUGARES DONDE ARRIENDA LAS HABITACIONES//ARMA BLANCA//AMENAZA QUE VA A ATENTAR CONTRA LA VIDA//SEÑORA CANCELA VUELVE A LLAMAR PORQUE DEBE IR A TRABAJAR//
SUR-01729332-23,2023-09-26,22:37:38,CIUDAD BOLIVAR,4.58451465,-74.16016965,934,00:00:10,Moderate Risk,1.0,high,3.46,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,1,162,PELEA INTRAFAMILIAR OBSERVA QUE EL SEÑOR SE QUIERE LLEVAR A LA HIJA // NO HERIDOS NO ARMAS EN LA PARTE POSTERIOR DE LOS CO EL RINCN DE CANDELARIA [BARRIO]
SUR-01963231-23,2023-11-01,10:32:05,USME,4.52951737,-74.11770391,611,00:00:20,High Risk,0.8884,high,13.858,0.8884,High Risk,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,0,3,408,SE COMUNICA FUNCIONARIA ICBF // SE PRESENTA CASO CON MENOR DE EDAD JOSEPH FABIAN NIETO MATAPI EDAD 5 AÑOS // LA IED REPORTA QUE PROGENITORA LO GOLPEO // TIENE MARCAS EN BRAZO IZQUIERDO // LA PROGENITORA FUE CITADA AYER // NO SE TIENEN DATOS DE PROGENITORA // COLEGIO JUAN LUIS LONDOLO 767 0800// NO BRINDAN NOMBRE DE FUNCIONARIO // DISPO TRAFALLIDA:9 DISPO INFOADICIO:NO SE TRANSFIERE /CASO REPORTADO ICBF
SUR-02143832-23,2023-11-28,20:37:20,CIUDAD BOLIVAR,4.56552849,-74.14547638,934,00:00:06,Low Risk,1.0,high,0.0,0.0,Low Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,0,107,REPORTA QUE SE ESTA PRESENTANDO UNA RIÑA FAMILIAR Y LA ESPOSA DEL HIJO NO LE PERMITE SACAR LAS PERTENENCIAS
